domain,url,discovery_source,risk_score,risk_level,investigated_at
vavadaitalia-net-3d043e3f.pages.dev,http://vavadaitalia-net-3d043e3f.pages.dev,keyword_match,52,MEDIUM,2026-07-23 20:21:35.232603+00:00
lucky-streak-pinco-tr.pu550ev.com,http://lucky-streak-pinco-tr.pu550ev.com,keyword_match,52,MEDIUM,2026-07-24 04:00:40.141951+00:00
manage.1xbet-casinoz-2iu.top,http://manage.1xbet-casinoz-2iu.top,keyword_match,52,MEDIUM,2026-07-24 09:40:21.257400+00:00
vulkan-russia24.com,http://vulkan-russia24.com,keyword_match,52,MEDIUM,2026-07-26 11:56:54.993603+00:00
acebetcasino-belgium.com,http://acebetcasino-belgium.com,keyword_match,52,MEDIUM,2026-07-23 22:53:18.428213+00:00
sportsbook.casinometropol1008.com,http://sportsbook.casinometropol1008.com,keyword_match,52,MEDIUM,2026-07-26 17:25:33.170531+00:00
accounts.mostbet33002.ru,http://accounts.mostbet33002.ru,keyword_match,52,MEDIUM,2026-07-24 04:32:58.727653+00:00
kampanya.casinometropol1008.com,http://kampanya.casinometropol1008.com,keyword_match,52,MEDIUM,2026-07-26 11:28:27.679920+00:00
1xbetagentlist.app,http://1xbetagentlist.app,keyword_match,52,MEDIUM,2026-07-26 14:30:54.690502+00:00
betaz-mostbet.ink,http://betaz-mostbet.ink,keyword_match,52,MEDIUM,2026-07-26 14:27:42.716240+00:00
1xbetapplogin.info,http://1xbetapplogin.info,keyword_match,52,MEDIUM,2026-07-26 14:21:09.694934+00:00
54aebe4b-382e-4ca4-9262-9f74ae84e007.vavadabg.casino,http://54aebe4b-382e-4ca4-9262-9f74ae84e007.vavadabg.casino,keyword_match,52,MEDIUM,2026-07-23 23:04:46.664326+00:00
